Market,Address,City,County,ZIP,Contact,Phone,Phone check,Website,Website check,Resolved address,Season,Hours,SNAP,FMNP,Duplicate of,Source,Accessed
Alfred Farmers' Market,3 South Main Street Alfred Bandstand,Alfred,Allegany,14802,Kim Hannigan,(585) 610-8478,Valid 10-digit number,http://www.alfredfarmersmarket.com,OK (redirects),https://alfredfarmersmarket.wordpress.com/,June 7-October 11,Sun 11am-3pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Alfred Winter Farmers' Market,29 N. Main St.,Alfred,Allegany,14802,Kim Hannigan,(585) 610-8478,Valid 10-digit number,http://www.alfredfarmersmarket.com,OK (redirects),https://alfredfarmersmarket.wordpress.com/,November-April,"Sun 11am-2pm, Monthly",No,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Angelica Farmers' Market,49 Park Circle,Angelica,Allegany,14709,Don Ash,(585) 747-8499,Valid 10-digit number,https://angelicafarmersmrkt.wixsite.com/angelicafarmersmrkt,OK,,June 13-September 26,Sat 10am-2pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Belmont Farmers' Market,5429 NYS Route 19 N,Belmont,Allegany,14813,Debra Wagoner,(585) 610-8836,Valid 10-digit number,,No website listed,,June 4-October 8,Thu 11am-3pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.,Fillmore,Allegany,14735,Terry Wagoner,(585) 610-8837,Valid 10-digit number,,No website listed,,May 22-November 1,"Sun-Wed/Fri 1pm-6pm, Sat 10am-6pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Ramsey Fresh Foods Farm Stand,3702 State Route 19,Scio,Allegany,14880,Alissa & John Ramsey,(585) 596-9151,Valid 10-digit number,,No website listed,,June 1-November 1,"Tue-Fri/Sun 1pm-7pm, Mon/Sat 11am-7pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Allegany",2026-09-08
Canticle Farm Stand,3809 Old State Road,Allegany,Cattaraugus,14706,Gina Anderson,(716) 373-0200,Valid 10-digit number,http://www.canticlefarm.org,OK (redirects),https://www.canticlefarm.org/,Year-round,Wed-Fri 9am-5:30pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Putt Farm Stand,3508 West Branch Road,Allegany,Cattaraugus,14706,Pamela Putt,(716) 544-9537,Valid 10-digit number,,No website listed,,August 1-October 31,"Sun-Thu 10am-6pm, Fri-Sat 10am-7pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
New Generation Farm Stand,9527 New Albion Road,Cattaraugus,Cattaraugus,14719,Lola Cicarelli,(508) 517-9215,Valid 10-digit number,,No website listed,,May 1-December 23,Mon-Fri 8am-3pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Hewitt's Fresh Produce Farm Stand,10168 Broadway Rd,Gowanda,Cattaraugus,14070,Ben Hewitt,(716) 532-4654,Valid 10-digit number,,No website listed,,June 14-November 1,Tue-Sun 10am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Great Valley Berry Patch Farm Stand,5608 Humphrey Road,Great Valley,Cattaraugus,14741,Nadyne Litchfield,(716) 945-5221,Valid 10-digit number,http://greatvalleyberrypatch.com,OK (redirects),https://www.greatvalleyberrypatch.com/,June 15-October 31,Wed-Sun 9am-5pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Wild Acres Family Farm Stand,5963 Route 98,Great Valley,Cattaraugus,14741,Donald Wild,(716) 969-4386,Valid 10-digit number,,No website listed,,May 31-November 12,Daily 10am-8pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Perfectly Blended Farm Farm Stand,3819 Riceville Rd,Machias,Cattaraugus,14101,Melissa Keller,(716) 258-0645,Valid 10-digit number,http://www.perfectlyblendedfarm.org,OK (redirects),https://www.perfectlyblendedfarm.org/,May 1-October 30,"Mon/Wed 4pm-6pm, Sat 12pm-4pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Enchanted Mountains Farmers' Market,1900 Constituion Ave,Olean,Cattaraugus,14760,Tammy Gardner,(716) 543-5475,Valid 10-digit number,,No website listed,,May 22-October 23,Fri 2pm-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Miller's Farm Stand,1685 Olean Portville Rd.,Olean,Cattaraugus,14760,Shanna Miller,(716) 372-2521,Valid 10-digit number,,No website listed,,April 1-December 24,"Mon-Sat 9am-6pm, Sun 9am-5pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Olean Area Farmers' Market,100 E. State Street,Olean,Cattaraugus,14760,Steph Beneng,(716) 374-5257,Valid 10-digit number,http://www.oleanfarmersmarket.com,OK (redirects),https://www.oleanfarmersmarket.com/,May 16-October 24,Sat 9am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Olean Area Winter Farmers' Market,1685 Olean-Portville Rd.,Olean,Cattaraugus,14760,Steph Beneng,(716) 374-5257,Valid 10-digit number,http://www.oleanfarmersmarket.com,OK (redirects),https://www.oleanfarmersmarket.com/,January 10-April 18,Alt. Sat 10am-1pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Silver Falls Farm Stand,10295 Jolls Road,Perrysburg,Cattaraugus,14129,Linda Dewey,(716) 672-9004,Valid 10-digit number,,No website listed,,June 15-November 1,"Thu 1pm-5pm, Sat 9am-1pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Wilson's Farm Market Farm Stand,78 South Main Street,Portville,Cattaraugus,14770,Francis Wilson,(716) 307-5233,Valid 10-digit number,,No website listed,,April 15-December 24,"Sat-Thu 10am-4pm, Fri 11am-4pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Cattaraugus",2026-09-08
Dunkirk Farmers' Market,45 Cliffstar Court,Dunkirk,Chautauqua,14048,Edward Hayes,(716) 366-9876,Valid 10-digit number,http://www.cityofdunkirk.com,OK (redirects),https://www.cityofdunkirkny.gov/,June 10-October 14,Wed 9am-2pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Miller's Apples Farm Stand,3889 Williams Street,Dunkirk,Chautauqua,14048,Shari Miller,(716) 366-3129,Valid 10-digit number,,No website listed,,June 19-November 13,Fri 10am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Roberto Fred Farm Stand,10655 Temple Rd,Dunkirk,Chautauqua,14048,Roberto Fred,(716) 366-7200,Valid 10-digit number,,No website listed,,May 23-November 20,Daily 9am-6pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Forestville Farmers' Market,21 Pearl Street,Forestville,Chautauqua,14062,Nancy Adams Fry,(732) 310-3331,Valid 10-digit number,,No website listed,,May 28-September 24,Thursday 1pm-5pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Fredonia Farmers' Market,9 Church St,Fredonia,Chautauqua,14063,Anneliese Bruegel,(248) 825-7916,Valid 10-digit number,http://www.fredoniafarmersmarket.org,OK (redirects),https://www.fredoniafarmersmarket.org/,May 16-October 31,Sat 9am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Fredonia WINTER Farmers' Market,321 East Main St. (Rte 20),Fredonia,Chautauqua,14063,Thomas Degolier,(716) 680-2104,Valid 10-digit number,http://www.fredoniafarmersmarket.org,OK (redirects),https://www.fredoniafarmersmarket.org/,November 1-May 17,Sat 10am-1pm,Yes,No,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Carlberg Livestock & Produce Farm Stand,1982 Peck Settlement Rd,Jamestown,Chautauqua,14701,Virginia Carlberg,(716) 969-3525,Valid 10-digit number,http://www.carlbergfarm.com,OK (redirects),https://grownby.com/farms/carlberg-farm-produce/shop,Year-round,"Mon-Sat 9am-6pm, Sun 11am-4pm",No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Farmers' Market,116 East Third Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,http://jfmny.org,OK (redirects),https://www.jfmny.org/,June 6-November 22,Sat 9am-1pm,Yes,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Mobile Market-Chautaqua Center,107 Institute Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,http://jtownpublicmarket.org,OK (redirects),https://www.jfmny.org/,Year-round,Fri 11am-12pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Mobile Market-Chautauqua Opportunities,1135 North Main Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,,No website listed,,Year-round,Thu 3pm-4pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
Jamestown Mobile Market-Prendergast Library,509 Cherry Street,Jamestown,Chautauqua,14701,Nick Weith,(716) 483-6405,Valid 10-digit number,http://jtownpublicmarket.org,OK (redirects),https://www.jfmny.org/,Year-round,Wed 11am-1pm,No,Yes,,"NYS Agriculture and Markets, Farmers' Markets in New York State, data.ny.gov qq4h-8p86, county=Chautauqua",2026-09-08
